stop_id,stop_name,stop_type,stop_other,stop_coord
bbot,"Bácsborsódi tanyák",megszűnt megállóhely,"",
bada,"Badacsony",megállóhely,"",46.788464:17.506479
badl,"Badacsonylábdihegy",megállóhely,"",46.790672:17.474122
badt,"Badacsonytomaj",állomás,"",46.804643:17.518167
bads,"Badacsonytördemic-Szigliget",állomás,"Nemestördemic-Szigliget, Nemestördemic",46.809844:17.468998
bado,"Badacsonyörs",megállóhely,"Kisörsszőlőhegy, Kisörsiszőllőhegy",46.806484:17.529896
bag_,"Bag",megállóhely,"",47.641183:19.471777
bagh,"Bagimajor",megállóhely,"Baghymajor",47.060256:20.315698
bago,"Bagod",megállóhely,"Bagodvitenyéd, Alsóbagod",46.874975:16.746015
bagy,"Bágyogszovát",megállóhely,"Dör-Bágyog, Bágyog",
baho,"Báhony",(Felvidék/Szlovákia),"Báhoň",
baja,"Baja",állomás,"",46.187196:18.957293
bajl,"Baja szállásváros",megszűnt megállóhely,"",46.163055:18.965888
bajd,"Baja-Dunafürdő",megállóhely,"Dunapart",
bajp,"Baja-Dunapart",teherpályaudvar,"",
wbau,"Bajai műút",megszűnt kisvasúti megállóhely,"",
bajs,"Bajai szőlők",megállóhely,"",
base,"Bajánsenye",megállóhely,"Dávidháza, Dávidháza-Kotormány",46.818098:16.358094
bajc,"Bajcs",állomás (Felvidék/Szlovákia),"Bajč",
bajf,"Bajcsa forgalmi kitérő",szolgálati hely,"",
bajo,"Bajonta",megszűnt megállóhely,"",
bajt,"Bajti-elágazás",megszűnt,"",47.25799:16.976963
bak_,"Bak",állomás,"",46.732014:16.849202
bkba,"Bakonybánk",megszűnt állomás,"",47.471607:17.913831
bkgy,"Bakonygyirót",megállóhely,"Gyiróth",47.41611:17.811788
wbkk,"Bakonykoppány",megszűnt kisvasúti,"",
bkpe,"Bakonypéterd",megállóhely,"",47.474062:17.804966
bksa,"Bakonysárkány",állomás,"",47.443936:18.103187
bkla,"Bakonyszentlászló",állomás,"",47.396032:17.817652
bklb,"Bakonyszentlászló-Bauxitátrakó",teherpályaudvar,"",
bkso,"Bakonyszombathely",megszűnt megállóhely,"",47.479805:17.950158
bkta,"Bakonytamási",megszűnt megállóhely,"",47.414328:17.723303
bakl,"Baktalórántháza",állomás,"",47.988572:22.083416
bkto,"Baktó",megszűnt megállóhely,"",
bakt,"Baktüttös",megállóhely,"",46.690741:16.824717
bala,"Balassagyarmat",állomás,"",48.071269:19.293517
bsty,"Balástya",állomás,"",46.413475:20.001532
wblt,"Baláta-tó",kisvasúti megállóhely,"",
blak,"Balatonakali-Dörgicse",állomás,"Dörgicse-Akali",46.879785:17.748063
blat,"Balatonakarattya",megállóhely,"",47.017395:18.16779
blal,"Balatonaliga",állomás,"",46.984325:18.170759
blam,"Balatonalmádi",állomás,"Balatonalmádi fürdő",47.028322:18.015047
blao,"Balatonalmádi-Öreghegy",megszűnt állomás,"",47.028814:18.00808
blae,"Balatonalmádi-Remetevölgy",megszűnt,"",47.034921:18.004111
blar,"Balatonarács",megállóhely,"",46.962529:17.89754
blbe,"Balatonberény",megállóhely,"",46.713759:17.317227
blbo,"Balatonboglár",állomás,"",46.776072:17.647244
blbf,"Balatonboglár felső",megszűnt megállóhely,"",
bled,"Balatonederics",állomás,"",46.8026:17.384489
blfe,"Balatonfenyves",állomás,"",46.71359:17.482627
blfa,"Balatonfenyves alsó",megállóhely,"Balatonmáriafürdő felső",46.70829:17.453839
blfy,"Balatonfenyves felső",megszűnt megállóhely,"",
wbfe,"Balatonfenyves GV",kisvasúti,"",46.712464:17.479485
blfk,"Balatonfőkajár",megszűnt megállóhely,"",47.013243:18.203897
blff,"Balatonfőkajár felső",megállóhely,"",47.031169:18.214249
blfz,"Balatonfűzfő",állomás,"",47.059869:18.0426
blfu,"Balatonfüred",állomás,"",46.956095:17.883093
blfo,"Balatonföldvár",megállóhely,"",46.853282:17.879889
blgy,"Balatongyörök",megállóhely,"",46.751969:17.354215
blkn,"Balatonkenese",állomás,"",47.032512:18.105496
blku,"Balatonkenese-Üdülőtelep",megállóhely,"Balatonkenesei főv. üdülőhely",47.025303:18.137509
blkr,"Balatonkeresztúr",megszűnt állomás,"",46.703817:17.368715
blle,"Balatonlelle",megállóhely,"",46.787547:17.694536
bllf,"Balatonlelle felső",állomás,"",46.794722:17.720107
blmf,"Balatonmáriafürdő",állomás,"",46.704209:17.375256
blma,"Balatonmáriafürdő alsó",megállóhely,"",46.704927:17.434852
blre,"Balatonrendes",megállóhely,"Rendes",46.825498:17.584078
blso,"Balatonszárszó",állomás,"",46.832081:17.830358
blse,"Balatonszemes",állomás,"",46.811914:17.776509
blsg,"Balatonszentgyörgy",állomás,"",46.692617:17.288851
blsm,"Balatonszentmihály",megszűnt megállóhely,"",
blsp,"Balatonszepezd",megállóhely,"",46.851171:17.663288
viri,"Balatonszepezd felső",megszűnt megállóhely,"Víriusztelep",
blsa,"Balatonszéplak alsó",megállóhely,"",46.891859:17.993291
blsf,"Balatonszéplak felső",megállóhely,"",46.897946:18.018029
blud,"Balatonudvari",megállóhely,"",46.904613:17.807706
bluj,"Balatonújlak",megszűnt megállóhely,"",46.675207:17.397544
blvi,"Balatonvilágos",megállóhely,"",46.963854:18.157558
balf,"Balffürdő",megállóhely,"",
bali,"Balinka",megszűnt állomás,"",47.31868:18.149242
wblk,"Balkán",megszűnt kisvasúti megállóhely,"",
balk,"Balkány",megszűnt állomás,"",
bald,"Balladűlő",megszűnt megállóhely,"",
ball,"Ballószög",megszűnt megállóhely,"",46.857483:19.57149
balm,"Balmazújváros",állomás,"",41.613872:21.347965
balg,"Balogfalva",(Felvidék/Szlovákia),"Blhovce",
wbgt,"Balogh tanya",megszűnt kisvasúti,"",
balo,"Balotaszállás",állomás,"Göböljárás",46.349329:19.533122
wbal,"Balsa",megszűnt kisvasúti,"",48.17098:21.550027
wbat,"Balsa-Tiszapart",megszűnt kisvasúti,"",
balv,"Bálványszállás",(Felvidék/Szlovákia),"Balvany",
banw,"Bán",(Felvidék/Szlovákia),"Bánovce nad Bebravou",
wbnf,"Bánfa",megszűnt kisvasúti,"",
bhha,"Bánhalma-Halastó",állomás,"",
bhid,"Bánhida",megállóhely,"Tatabányai erőmű, Bánhida-Erőmű",47.573837:18.371953
bhma,"Bánhidymajor",megszűnt megállóhely,"Bánhidi major",
bank,"Bánk",megszűnt állomás,"",
bnke,"Bánkeszi",megállóhely (Felvidék/Szlovákia),"Bánov",
bkut,"Bánkút",megállóhely,"",46.505444:21.093878
wbnk,"Bánokszentgyörgyi elágazás",kisvasúti megállóhely,"",46.54771:16.733025
banr,"Bánréve",állomás,"",48.299847:20.351973
banv,"Bánrévei Vízmű",megállóhely,"Sajó-parti fürdő",
bnru,"Bánruszkóc",(Felvidék/Szlovákia),"Ruskovce",
bans,"",(Felvidék/Szlovákia),"",
wbac,"Barackos",megszűnt megállóhely,"",
wbrs,"Barackos mh.",kisvasúti megállóhely,"",
brck,"Baracska",megállóhely,"",47.298402:18.754856
brnd,"Báránd",állomás,"",
barh,"Barantóhegy",megszűnt (Románia/Erdély),"",
brsi,"Baranyaszentistván",megszűnt megállóhely (Horvátország),"",
pelm,"Baranyavár-Pélmonostor",állomás (Horvátország),"Beli Manastir",
wbar,"Bárányfok",kisvasúti,"",46.34465:18.790857
wbrr,"Barátréti romok",megszűnt kisvasúti állomás,"",
wbrt,"Barátság",kisvasúti,"",47.615558:16.689429
brsa,"Barátszabadi",(Felvidék/Szlovákia),"Mníchova Lehota",
barm,"Barátudvar megálló",megállóhely (Ausztria),"Mönchhof-Haltestelle",
bara,"Barátudvar-Féltorony",(Ausztria),"Mönchhof-Halbturm",
brca,"Bárca",állomás (Felvidék/Szlovákia),"Barca",
brcl,"Bárca alsó",megszűnt (Felvidék/Szlovákia),"",
barc,"Barcs",állomás,"",45.951819:17.446885
barf,"Barcs felső",megállóhely,"Belcsapuszta",45.958309:17.486156
bart,"Barcstelep",megszűnt megálló-rakodóhely,"",
bard,"Bárdudvarnok",megszűnt megállóhely,"Bárdibükk",
wbra,"Barosakna",megszűnt kisvasúti állomás,"",
bars,"Barosstelep",megállóhely,"",47.398759:18.989168
bber,"Barsberzencze",(Felvidék/Szlovákia),"Tekovská Breznica",
bbes,"Barsbese-Barsbaracska",(Felvidék/Szlovákia),"Beša",
btas,"Barstaszár",(Felvidék/Szlovákia),"Tesárske Mlyňany",
brta,"Barta",megszűnt megállóhely,"",
brto,"Bartos",(Felvidék/Szlovákia),"Bartošova Lehôtka",
bash,"Bashalom",megállóhely,"",
bata,"Báta",megszűnt állomás,"",46.139741:18.718041
bats,"Bátaszék",állomás,"",46.202455:18.71561
bate,"Baté",állomás,"",46.355608:17.960903
batm,"Bátmonostor",megszűnt állomás,"",
bath,"Batthyány tér",állomás,"",47.506732:19.039413
batt,"Battonya",állomás,"",46.282001:21.004002
wbtt,"Battonya GV",megszűnt kisvasúti állomás,"",46.279274:21.005016
batn,"Battyánd",(Szlovénia),"Puconci",
baty,"Batyk-kitérő",megszűnt állomás,"",46.988724:17.023992
wbza,"Bázakerettye alsó",kisvasúti állomás,"",
wbfz,"Bázakerettye felső",kisvasúti megállóhely,"",
bazi,"Bazin",állomás (Felvidék/Szlovákia),"Pezinok",
bazs,"Bazsómajor",megszűnt megállóhely,"",
bece,"Becehegy",megállóhely,"",46.776066:17.372625
beck,"Becske",megszűnt állomás,"",47.895875:19.367151
becs,"Becske alsó",megállóhely,"",
becu,"Bécsújhely",állomás (Ausztria),"Wiener Neustadt",
wbed,"Bede megálló",megszűnt kisvasúti megállóhely,"",
bekm,"Békásmegyer",állomás,"Békásmegyer-Pünkösdfürdő",47.598467:19.054871
beke,"Békés",megszűnt állomás,"",
wbko,"Békés Köröspart",megszűnt kisvasúti megállóhely,"",
wbks,"Békés Széchenyi tér",megszűnt kisvasúti állomás,"",
bkcs,"Békéscsaba",állomás,"",46.669743:21.081495
wbck,"Békéscsaba Kossuth tér",megszűnt kisvasúti állomás,"",
wbcs,"Békéscsaba Sztálin úti kitérő",megszűnt kisvasúti megállóhely,"",
wbcv,"Békéscsaba villanytelep",megszűnt kisvasúti megállóhely,"",
wbkt,"Békési tanyák",megszűnt kisvasúti megállóhely,"",
wbek,"Békéssámson",megszűnt kisvasúti állomás,"",
blba,"Bélabánya",(Felvidék/Szlovákia),"Banská Belá",
blbm,"Bélabánya megálló",megszűnt (Felvidék/Szlovákia),"",
belh,"Bélaház",(Felvidék/Szlovákia),"Boleráz",
belf,"Bélapátfalva",állomás,"",48.055869:20.340643
belc,"Bélapátfalvi Cementgyár",megállóhely,"",48.058409:20.355583
wbet,"Bélatanya",megszűnt megállóhely,"",
belt,"Bélatelep",megállóhely,"",46.736844:17.534137
belv,"Bélavár",megállóhely,"",46.122928:17.207832
blcs,"Belecska",megállóhely,"",46.639598:18.411317
beld,"Beled",állomás,"",
belg,"Beleg",állomás,"",
wblm,"Belemtűz",megszűnt kisvasúti,"",
belz,"Belezna",megállóhely,"",46.326327:16.87752
bell,"Bellus",(Felvidék/Szlovákia),"Beluša",
wbem,"Bélmegyer",megszűnt kisvasúti állomás,"",
wbmt,"Bélmegyeri tanyák",megszűnt kisvasúti megállóhely,"",
wbeu,"Belső Újtelep",megszűnt kisvasúti megállóhely,"",
beba,"Belsőbáránd",megállóhely,"",
beka,"Belsőkamaráspuszta",megállóhely,"",46.341294:20.848509
benr,"Belsőnyír",megszűnt megállóhely,"Kuti erdő",
bepe,"Belsőperegpuszta",megállóhely,"",46.320285:20.906699
bena,"Béna",megállóhely (Felvidék/Szlovákia),"Belina",
bene,"Benedekvölgy",megszűnt megállóhely,"",
bens,"Benesháza",(Felvidék/Szlovákia),"Beňuš",
beng,"Benge",megszűnt megállóhely (Horvátország),"",
beny,"Bény",(Felvidék/Szlovákia),"Bíňa",
bent,"Bénytelep",(Felvidék/Szlovákia),"Bíňa zastávka",
berc,"Bercsény",(Felvidék/Szlovákia),"Svinná",
berg,"Béreg",megszűnt állomás (Szerbia),"",
berf,"Berekfürdő",megállóhely,"Tatárülés",
brkh,"Berekhát",megszűnt megállóhely,"",
bere,"Beremend",megszűnt állomás,"",45.77608:18.444456
brmf,"Beremend felső",megszűnt megállóhely,"Rácbóly",
berm,"Beremendi Cementmű",megszűnt állomás,"",45.832221:18.395398
brnt,"Berente",megállóhely,"",48.238896:20.672466
brns,"Berente-Rendező",megszűnt teherpályaudvar,"Berente Szénpályaudvar",
beru,"Berettyóújfalu",állomás,"",47.212248:21.532232
bert,"Beretvástelep",megszűnt megállóhely,"",
brzo,"Berezó",állomás (Felvidék/Szlovákia),"Brezová pod Bradlom",
berh,"Berhida",megszűnt megállóhely,"",
berk,"Berkenye",megállóhely,"",47.885529:19.071312
wbvg,"Berva gyártelep",megszűnt kisvasúti,"",
wbvk,"Berva kőbánya",megszűnt kisvasúti állomás,"",
berz,"Berzence",állomás,"",46.201187:17.143537
wbes,"Besnyő",megszűnt kisvasúti megállóhely,"",
besu,"Besnyői út",megszűnt megállóhely,"",
besb,"Besztercebánya",állomás (Felvidék/Szlovákia),"Banská Bystrica",
besm,"Besztercebánya megálló",megszűnt megállóhely (Felvidék/Szlovákia),"",
besj,"Besztercebánya Szentjános",megszűnt (Felvidék/Szlovákia),"",
betc,"Betekintscsárda",(Felvidék/Szlovákia),"Slepčany",
betl,"Betlér",állomás (Felvidék/Szlovákia),"Betliar",48.699227:20.500608
bezd,"Bezdán",megszűnt állomás (Szerbia),"",
beze,"Bezenye",megállóhely,"",47.97355:17.203314
wbez,"Bezinarét",kisvasúti,"",
beot,"Beöthy utca",,"",
biat,"Biatorbágy",állomás,"",47.480494:18.834032
biar,"Biatorbágy régi",megszűnt állomás,"Torbágy",
boce,"Bicere",állomás,"",46.659809:21.179498
bicf,"Bicscsefalu",(Felvidék/Szlovákia),"Bytčica",
bcsd,"Bicsérd",állomás,"Kisbicsérd",46.041042:18.053953
bics,"Bicske",állomás,"",47.484084:18.61875
bica,"Bicske alsó",megállóhely,"",47.486712:18.643327
bihk,"Biharkeresztes",állomás,"Mező-Keresztes",47.135506:21.721866
bihn,"Biharnagybajom",állomás,"",47.208761:21.221784
bihp,"Biharpüspöki",állomás (Románia/Erdély),"Episcopia Bihor",
biha,"Biharszentandrás",megszűnt (Románia/Erdély),"",
bika,"Bikács",megszűnt megállóhely,"",
bikz,"Bikás",(Felvidék/Szlovákia),"Bujakovo zastávka",
bino,"",(Felvidék/Szlovákia),"",
biri,"Biri",megszűnt állomás,"",
wbir,"Bíró megálló",megszűnt kisvasúti megállóhely,"",
bize,"Bize",megszűnt megállóhely,"Gyótapuszta",
bo__,"Bő",megszűnt állomás,"",
boba,"Boba",állomás,"",47.182534:17.191406
bocf,"Bocfölde",megállóhely,"",46.778259:16.853404
bocs,"Bocskaikert",megállóhely,"Bocskay-kert",47.640262:21.666037
bodj,"Bodajk",állomás,"",47.31814:18.251807
bdjf,"Bodajk felső",megszűnt megállóhely,"",47.328888:18.235506
bodf,"Bodakajtor-Felsőszentiván",megszűnt állomás,"",
bodb,"Bodolyabér",megállóhely,"Egyházbér",46.199985:18.128934
wbof,"Bodorfa",megszűnt kisvasúti,"",
wboh,"Bodroghalász",megszűnt kisvasúti megállóhely,"",
bodk,"Bodrogkeresztúr",állomás,"",48.175278:21.353901
bodo,"Bodrogolaszi",megállóhely,"",48.285443:21.512116
bodv,"Bódvaszilas",állomás,"",48.537491:20.737933
bodm,"Bódvaszilas-Mészkőbánya",megszűnt teherpályaudvar,"",
bofa,"Bőfalu",(Felvidék/Szlovákia),"Behynce",
boga,"Bogárzó",megállóhely,"",46.540624:20.677259
selc,"Bogdány-Selpőc",(Felvidék/Szlovákia),"Šelpice",
bogd,"Bogdása",megszűnt megállóhely,"",
bogo,"Bogoszló",(Felvidék/Szlovákia),"Trenčianske Bohuslavice",
bogy,"Bogya-Felsőgellér",(Felvidék/Szlovákia),"Bodza",
boja,"Bojár-Hollós",megszűnt állomás,"",47.396786:21.209544
wboj,"Bojsza",kisvasúti megállóhely,"",
wbjt,"Bojtártelek",megszűnt kisvasúti megállóhely,"",
boka,"Bókaháza",megszűnt megállóhely,"",46.771121:17.111519
boko,"Bokod",megszűnt megállóhely,"",
kavb,"Boldog",megszűnt megállóhely,"",
bdas,"Boldogasszony",(Ausztria),"Frauenkirchen",
bolk,"Boldogkőváralja",megállóhely,"",48.344982:21.20874
bolv,"Boldva",állomás,"",48.223171:20.790591
bole,"Bolesó",megszűnt (Felvidék/Szlovákia),"Bolešov",
wbol,"Bolhacsárda",megszűnt kisvasúti,"",
bolh,"Bolhás",megállóhely,"",
boly,"Bóly",állomás,"Német-Bóly, Németbóly",45.937634:18.538342
bony,"Bonnya",megállóhely,"",46.609116:17.910747
bonu,"Bonum",megszűnt megállóhely,"",
bonh,"Bonyhád",megszűnt állomás,"",46.295663:18.533394
bora,"Boráros tér",állomás,"",47.479171:19.066512
brci,"",megszűnt (Felvidék/Szlovákia),"",
bord,"Borodnó",(Felvidék/Szlovákia),"Brodno",
wbor,"Borosgyán",megszűnt kisvasúti állomás,"",
brga,"Borosznó-Garamszentandrás",(Felvidék/Szlovákia),"Brusno kúpele",
brs_,"Bors",megszűnt megállóhely,"",
borh,"Borsihalom",megállóhely,"",46.769864:19.91286
borm,"Borsmonostor",megszűnt (Ausztria),"Klostermarienberg",
borc,"Borsodi Ércmű",teherpályaudvar,"Borsodi Ércelőkészítőmű",48.157123:20.776055
bors,"Borsodszirák",megállóhely,"",48.258741:20.771014
borb,"Borsosberény",állomás,"",47.973256:19.094736
bosa,"Bősárkány",állomás,"",
bosf,"Bőszénfa",megszűnt megállóhely,"",
boty,"Botykapeterd",megszűnt megállóhely,"",
bozo,"Bozók",megszűnt (Felvidék/Szlovákia),"Bzovík",
brnc,"",(Felvidék/Szlovákia),"",
brau,"",(Felvidék/Szlovákia),"",
pzuj,"",állomás (Felvidék/Szlovákia),"",48.171017:17.148201
brav,"",(Felvidék/Szlovákia),"",
bren,"Brennbergbánya",megszűnt teherpályaudvar,"",
brzi,"",megszűnt (Felvidék/Szlovákia),"",
breh,"",(Felvidék/Szlovákia),"",
brer,"",(Felvidék/Szlovákia),"",
breb,"Breznóbánya",(Felvidék/Szlovákia),"Brezno",
